,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
40,TC212106,Bruce,A,2,2121-10-22 00:00:00,2121-10-23 00:00:00,2121-10-22 18:00:00,2121-10-18 12:00:00,2121-10-17 18:00:00,994.94,-59.51,39.2,999.42,-75.81,29.51,1006.0,-55.4,39.46,1001.34,-58.76,37.81,1002.85,-80.58,27.61
41,TC212201,Giovanni,A,1,2122-02-13 00:00:00,2122-02-13 12:00:00,2122-02-12 06:00:00,2122-02-12 06:00:00,2122-02-03 00:00:00,981.6,-29.66,39.24,981.6,-29.66,39.24,992.51,-24.99,37.98,988.93,-18.77,38.14,1009.29,-39.79,33.67
42,TC212209,Sergio,A,2,2122-12-17 12:00:00,2122-12-17 18:00:00,2122-12-14 06:00:00,2122-12-14 06:00:00,2122-12-12 18:00:00,985.93,-43.05,34.43,985.93,-43.05,34.43,1005.11,-20.57,43.29,1007.99,-17.5,44.0,1002.82,-51.77,28.68
43,TC212307,Ernest,A,1,2123-10-06 00:00:00,2123-10-06 06:00:00,2123-10-03 18:00:00,2123-10-03 18:00:00,2123-09-19 00:00:00,945.6,-55.76,39.55,945.6,-55.76,39.55,1002.7,-44.3,42.14,1002.04,-41.99,43.7,1011.15,-25.57,9.13
44,TC212401,Grace,A,2,2124-05-07 18:00:00,2124-05-10 00:00:00,2124-05-10 00:00:00,2124-05-07 00:00:00,2124-05-05 06:00:00,993.57,-81.06,41.25,1005.92,-94.85,29.73,1007.47,-94.61,33.13,993.57,-81.06,41.25,1006.19,-91.32,27.3
45,TC212402,Harrison,A,1,2124-10-02 00:00:00,2124-10-07 00:00:00,2124-09-30 06:00:00,2124-09-30 06:00:00,2124-09-19 18:00:00,923.72,-55.92,22.89,923.72,-55.92,22.89,924.02,-53.05,25.97,988.26,-27.32,49.92,1012.25,-13.08,8.38
46,TC212502,Lydia,A,2,2125-09-13 06:00:00,2125-09-13 12:00:00,2125-09-05 18:00:00,2125-09-05 18:00:00,2125-09-01 12:00:00,993.58,-36.55,19.86,993.58,-36.55,19.86,1006.63,-55.77,42.05,1000.11,-53.47,40.43,1005.83,-20.45,11.95
47,TC212504,Nicole,A,3,2125-11-22 06:00:00,2125-11-22 06:00:00,2125-11-20 06:00:00,2125-11-20 06:00:00,2125-11-20 12:00:00,977.85,-61.7,40.19,977.85,-61.7,40.19,996.36,-49.66,37.86,996.36,-49.66,37.86,979.83,-58.75,40.62
48,TC212601,Song,A,1,2126-01-07 18:00:00,2126-01-08 00:00:00,2126-01-03 12:00:00,2126-01-03 12:00:00,2126-01-02 12:00:00,980.5,-60.53,40.47,980.5,-60.53,40.47,992.71,-26.29,43.12,993.52,-24.59,45.9,1008.16,-74.29,35.04
49,TC212604,Audrey,A,2,2126-05-16 00:00:00,2126-05-16 06:00:00,2126-05-12 00:00:00,2126-05-12 00:00:00,2126-05-07 18:00:00,973.58,-64.29,35.38,973.58,-64.29,35.38,1002.2,-28.33,36.35,1003.64,-25.6,36.84,1003.14,-87.48,26.63
50,TC212605,Brandon,A,1,2126-09-05 18:00:00,2126-09-07 00:00:00,2126-09-06 06:00:00,2126-09-05 12:00:00,2126-08-31 18:00:00,997.82,-55.6,45.44,1000.0,-61.0,42.0,999.97,-59.57,42.61,1001.43,-45.67,48.32,1012.43,-73.95,35.53
51,TC212606,Christine,A,1,2126-09-10 06:00:00,2126-09-10 18:00:00,2126-09-11 18:00:00,2126-09-09 12:00:00,2126-09-06 00:00:00,989.55,-32.5,43.25,999.35,-61.25,36.9,1000.23,-53.32,38.01,1000.64,-47.75,38.75,1013.52,-77.52,30.88
52,TC212702,Geoffrey,A,1,2127-04-21 06:00:00,2127-04-22 18:00:00,2127-04-16 06:00:00,2127-04-16 06:00:00,2127-04-12 12:00:00,965.12,-72.63,37.31,965.12,-72.63,37.31,986.63,-62.16,36.71,988.94,-64.29,42.26,1004.72,-78.68,24.34
53,TC212704,Jacob,A,1,2127-06-14 18:00:00,2127-06-15 18:00:00,2127-06-16 18:00:00,2127-06-14 12:00:00,2127-06-07 00:00:00,972.72,-31.57,51.63,992.25,-57.07,39.86,990.71,-53.68,40.72,988.96,-38.11,44.55,1008.5,-91.06,30.44
54,TC212707,Maho,A,1,2127-10-22 12:00:00,2127-10-27 00:00:00,2127-10-20 18:00:00,2127-10-20 18:00:00,2127-10-17 12:00:00,944.64,-29.42,31.38,944.64,-29.42,31.38,968.67,-28.42,31.12,999.95,-2.43,39.45,1006.7,-35.87,30.53
55,TC212802,Victor,A,3,2128-01-22 06:00:00,2128-01-22 06:00:00,2128-01-19 18:00:00,2128-01-19 18:00:00,2128-01-19 06:00:00,960.57,-40.76,43.45,960.57,-40.76,43.45,995.26,-27.0,33.75,995.26,-27.0,33.75,965.24,-40.85,41.73
