,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
61,TC196306,Luke,C,2,1963-07-19 12:00:00,1963-07-19 18:00:00,1963-07-15 06:00:00,1963-07-15 06:00:00,1963-07-10 06:00:00,931.32,-85.46,27.45,931.32,-85.46,27.45,1002.83,-68.32,42.57,1002.24,-65.41,44.01,1011.27,-66.5,21.44
62,TC196408,Lily,C,1,1964-08-05 06:00:00,1964-08-06 00:00:00,1964-08-07 00:00:00,1964-08-03 00:00:00,1964-07-29 06:00:00,987.25,-11.5,51.0,987.44,-54.84,36.34,1002.53,-42.21,45.36,1004.74,-30.75,48.25,1008.09,-65.63,34.42
63,TC196410,Noelle,C,1,1964-08-27 00:00:00,1964-08-28 00:00:00,1964-08-25 00:00:00,1964-08-25 00:00:00,1964-08-18 12:00:00,933.71,-60.72,27.57,933.71,-60.72,27.57,938.56,-58.19,37.45,970.64,-51.61,48.33,1010.19,-45.43,16.94
64,TC196412,Shannon,C,1,1964-09-09 18:00:00,1964-09-11 18:00:00,1964-09-09 18:00:00,1964-09-09 06:00:00,1964-09-06 06:00:00,960.45,-47.21,39.94,960.48,-48.57,37.1,960.45,-47.21,39.94,993.16,-25.75,45.25,1010.86,-44.27,30.63
65,TC196509,Samuel,C,1,1965-09-12 18:00:00,1965-09-13 12:00:00,1965-09-10 00:00:00,1965-09-10 00:00:00,1965-09-02 12:00:00,922.7,-61.74,30.53,922.7,-61.74,30.53,950.96,-55.67,44.13,974.4,-43.67,47.6,1012.93,-40.88,14.27
66,TC196513,Bella,C,1,1965-10-15 06:00:00,1965-10-16 06:00:00,1965-10-09 18:00:00,1965-10-09 18:00:00,1965-10-08 00:00:00,976.88,-28.99,13.73,976.88,-28.99,13.73,996.15,-26.75,24.24,996.71,-19.31,26.76,1002.34,-30.35,13.17
67,TC196610,Shirley,C,1,1966-08-29 12:00:00,1966-09-01 12:00:00,1966-08-30 00:00:00,1966-08-29 06:00:00,1966-08-25 00:00:00,939.55,-60.98,36.16,967.22,-63.24,32.63,954.41,-62.63,33.58,999.01,-49.5,43.4,1012.42,-70.33,22.86
68,TC196806,Tracy,C,1,1968-09-12 12:00:00,1968-09-15 18:00:00,1968-09-12 12:00:00,1968-09-12 06:00:00,1968-08-25 06:00:00,961.43,-86.4,29.65,975.9,-87.25,29.16,961.43,-86.4,29.65,1005.95,-74.58,37.72,1007.65,-31.52,12.68
69,TC196903,Jessica,C,1,1969-09-05 00:00:00,1969-09-05 06:00:00,1969-09-04 06:00:00,1969-09-04 06:00:00,1969-08-26 12:00:00,987.98,-29.84,40.4,987.98,-29.84,40.4,993.31,-25.17,43.72,997.28,-22.65,44.76,1018.96,-35.73,34.85
70,TC196907,Oxlip,C,1,1969-11-07 06:00:00,1969-11-10 00:00:00,1969-11-09 18:00:00,1969-11-04 12:00:00,1969-10-31 00:00:00,981.6,-14.97,47.44,983.18,-45.38,38.16,995.95,-32.86,39.66,985.37,-13.73,48.77,1009.12,-65.65,27.16
71,TC197108,Rachel,C,1,1971-09-28 18:00:00,1971-09-30 00:00:00,1971-09-28 18:00:00,1971-09-28 12:00:00,1971-09-25 12:00:00,982.21,-57.8,40.41,984.66,-59.6,38.54,982.21,-57.8,40.41,1001.44,-44.75,46.25,1012.18,-60.25,29.79
72,TC197402,Seldoen,C,3,1974-07-22 18:00:00,1974-07-22 18:00:00,1974-07-20 12:00:00,1974-07-20 12:00:00,1974-07-18 00:00:00,975.88,-67.01,38.69,975.88,-67.01,38.69,1003.72,-51.32,48.77,1003.72,-51.32,48.77,1011.24,-71.39,35.93
73,TC197504,Ivy,C,3,1975-08-24 06:00:00,1975-08-24 06:00:00,1975-08-19 00:00:00,1975-08-19 00:00:00,1975-08-12 06:00:00,948.04,-71.84,26.64,948.04,-71.84,26.64,992.55,-64.01,48.57,992.55,-64.01,48.57,1012.19,-32.39,11.52
